'august 14 1733', '1733-08-14'
'jun 11 1848', '1848-06-11'
'16 september 1804', '1804-09-16'
'thursday november 2 1741', '1741-11-02'
'sunday may 23 1717', '1717-05-23'
'friday october 30 1525', '1525-10-30'
'mar 9 1978', '1978-03-09'
'6 december 1558', '1558-12-06'
'friday july 27 1951', '1951-07-27'
'feb 26 1633', '1633-02-26'
'24/04/1637', '1637-04-24'
'saturday 1998 2 01', '1999-01-02'
'14 september 1945', '1945-09-14'
'1717 29 january', '1717-01-29'
'feb 21 1539', '1539-02-21'
'30/01/1857', '1857-01-30'
'may 21 1975', '1975-05-21'
'sep 1 1745', '1745-09-01'
'14 mar 1960', '1960-03-14'
'20 july 1611', '1611-07-20'
'17 august 1996', '1996-08-17'
'3 august 2054', '2054-08-03'
'may 10 1612', '1612-05-10'
'feb 14 1559', '1559-02-14'
'friday 1628 14 04', '1628-04-14'
'18 april 1576', '1576-04-18'
'apr 25 1894', '1894-04-25'
'friday 14 june 1771', '1771-06-14'
'february 19 1837', '1837-02-19'
'23/05/1528', '1528-05-23'
'february 16 1926', '1926-02-16'
'monday june 23 2031', '2031-06-23'
'thursday january 10 1901', '1901-01-10'
'8 january 1614', '1614-01-08'
'23 january 1534', '1534-01-23'
'october 20 1691', '1691-10-20'
'august 13 1731', '1731-08-13'
'aug 22 1867', '1867-08-22'
'monday december 12 1549', '1549-12-12'
'sun 1842 20 february', '1842-02-20'
'27 april 1529', '1529-04-27'
'thu 1521 8 december', '1521-12-08'
'jul 21 1673', '1673-07-21'
'22/12/1690', '1690-12-22'
'5 sep 1728', '1728-09-05'
'3 jan 1838', '1838-01-03'
'august 8 1669', '1669-08-08'
'saturday 1814 15 01', '1814-01-15'
'fri 1843 20 october', '1843-10-20'
'17 july 1829', '1829-07-17'
'28 september 2026', '2026-09-28'
'3 may 1834', '1834-05-03'
'2 july 1695', '1695-07-02'
'may 8 1619', '1619-05-08'
'july 23 1561', '1561-07-23'
'sunday december 14 1952', '1952-12-14'
'apr 4 1525', '1525-04-04'
'sep 14 1767', '1767-09-14'
'mar 27 1937', '1937-03-27'
'february 19 1553', '1553-02-19'
'feb 28 1988', '1988-02-28'
'10 sep 1874', '1874-09-10'
'friday 1654 1 05', '1654-05-01'
'sunday february 6 1594', '1594-02-06'
'4 august 2022', '2022-08-04'
'november 21 1692', '1692-11-21'
'saturday 21 september 1850', '1850-09-21'
'12/23/43', '1543-12-23'
'november 7 1894', '1894-11-07'
'july 21 1909', '1909-07-21'
'9 september 1764', '1764-09-09'
'13 june 1641', '1641-06-13'
'tuesday july 6 2038', '2038-07-06'
'sunday 22 june 1547', '1547-06-22'
'1869 8 may', '1869-05-08'
'17/11/2012', '2012-11-17'
'3/19/04', '2004-03-19'
'25 may 1896', '1896-05-25'
'24/08/1790', '1790-08-24'
'17 august 1815', '1815-08-17'
'wednesday 1904 3 02', '1904-02-03'
'1714 5 nov', '1714-11-05'
'15 january 1559', '1559-01-15'
'march 26 2001', '2001-03-26'
'17 february 1592', '1592-02-17'
'7 april 1599', '1599-04-07'
'sunday july 25 1813', '1813-07-25'
'sep 21 1541', '1541-09-21'
'1829 2 june', '1829-06-02'
'11 july 1841', '1841-07-11'
'22 january 1734', '1734-01-22'
'tuesday 1547 25 11', '1547-11-25'
'aug 27 1638', '1638-08-27'
'wed 21 aug 1918', '1918-08-21'
'3/27/90', '1990-03-27'
'sunday april 9 1578', '1578-04-09'
'saturday 7 december 1641', '1641-12-07'
'aug 27 1813', '1813-08-27'
'21 june 1685', '1685-06-21'
'12 february 1819', '1819-02-12'
'19 april 1651', '1651-04-19'
'november 7 1537', '1537-11-07'
'november 24 2068', '2068-11-24'
'july 7 1800', '1800-07-07'
'aug 16 1742', '1742-08-16'
'january 20 1846', '1846-01-20'
'jun 4 1570', '1570-06-04'
'dec 18 1986', '1986-12-18'
'16 january 1533', '1533-01-16'
'tuesday january 13 2054', '2054-01-13'
'3/18/70', '1570-03-18'
'7 march 1809', '1809-03-07'
'9 november 1844', '1844-11-09'
'11 dec 1897', '1897-12-11'
'1524 17 aug', '1524-08-17'
'oct 12 1595', '1595-10-12'
'january 7 1929', '1929-01-07'
'09/11/1920', '1920-11-09'
'wednesday february 1 2045', '2045-02-01'
'february 3 1766', '1766-02-03'
'12/8/02', '1602-12-08'
'sep 18 1670', '1670-09-18'
'monday 18 january 1593', '1593-01-18'
'18 october 2066', '2066-10-18'
'5 aug 1878', '1878-08-05'
'4 january 1788', '1788-01-04'
'1740 24 february', '1740-02-24'
'10 apr 1997', '1997-04-10'
'2 july 1885', '1885-07-02'
'10 december 2061', '2061-12-10'
'feb 11 2040', '2040-02-11'
'july 7 1778', '1778-07-07'
'jul 29 1803', '1803-07-29'
'thursday august 29 1720', '1720-08-29'
'07/10/1705', '1705-10-07'
'thursday january 24 1771', '1771-01-24'
'2 feb 2063', '2063-02-02'
'15 feb 1620', '1620-02-15'
'saturday august 8 1598', '1598-08-08'
'sunday 4 february 1629', '1629-02-04'
'11 apr 1971', '1971-04-11'
'january 18 1841', '1841-01-18'
'1736 13 jul', '1736-07-13'
'sep 20 1791', '1791-09-20'
'september 19 1984', '1984-09-19'
'monday 1865 5 06', '1865-06-05'
'march 19 2011', '2011-03-19'
'sunday march 13 1853', '1853-03-13'
'12 jun 1758', '1758-06-12'
'8 october 1840', '1840-10-08'
'dec 31 1953', '1953-12-31'
'jun 13 1577', '1577-06-13'
'friday 13 march 1739', '1739-03-13'
'august 18 1524', '1524-08-18'
'july 29 1617', '1617-07-29'
'6 november 1547', '1547-11-06'
'03/08/1708', '1708-08-03'
'12/30/40', '1940-12-30'
'01/08/1908', '1908-08-01'
'jun 14 1556', '1556-06-14'
'24 may 1589', '1589-05-24'
'1911 14 jun', '1911-06-14'
'monday march 26 1551', '1551-03-26'
'1847 29 august', '1847-08-29'
'april 21 1656', '1656-04-21'
'april 28 1817', '1817-04-28'
'thursday 8 august 1895', '1895-08-08'
'23 march 1726', '1726-03-23'
'27 september 1954', '1954-09-27'
'1888 24 june', '1888-06-24'
'07/06/1550', '1550-06-07'
'saturday april 19 1766', '1766-04-19'
'monday july 15 1585', '1585-07-15'
'tue 1952 18 march', '1952-03-18'
'sep 10 1999', '1999-09-10'
'2 november 1597', '1597-11-02'
'5 aug 1835', '1835-08-05'
'thursday october 21 1723', '1723-10-21'
'december 31 1744', '1744-12-31'
'9 sep 1944', '1944-09-09'
'28 december 1836', '1836-12-28'
'tuesday 1633 23 08', '1633-08-23'
'wednesday november 21 2046', '2046-11-21'
'2 july 1912', '1912-07-02'
'sunday september 22 1540', '1540-09-22'
'sat 1586 21 june', '1586-06-21'
'december 10 1620', '1620-12-10'
'31 august 1679', '1679-08-31'
'23 jul 1871', '1871-07-23'
'28 february 1756', '1756-02-28'
'8 may 1928', '1928-05-08'
'mon 1862 18 august', '1862-08-18'
'november 9 2047', '2047-11-09'
'jul 13 1585', '1585-07-13'
'thursday 18 may 1780', '1780-05-18'
'7/16/70', '1970-07-16'
'31/03/1924', '1924-03-31'
'26 dec 1663', '1663-12-26'
'monday 1 november 1926', '1926-11-01'
'sat 1917 24 november', '1917-11-24'
'18 august 2070', '2070-08-18'
'january 1 1890', '1890-01-01'
'24 march 1763', '1763-03-24'
'3 august 2060', '2060-08-03'
'february 8 1969', '1969-02-08'
'saturday may 8 1734', '1734-05-08'
'fri 2045 8 september', '2045-09-08'
'october 17 1905', '1905-10-17'
'23 april 1969', '1969-04-23'
'july 16 1580', '1580-07-16'
'august 21 1533', '1533-08-21'
'thursday may 8 1614', '1614-05-08'
'monday september 26 1864', '1864-09-26'
'22 november 1904', '1904-11-22'
'tuesday 9 september 1941', '1941-09-09'
'thursday 1981 3 09', '1981-09-03'
'saturday 1901 25 05', '1901-05-25'
'june 2 1527', '1527-06-02'
'friday 29 september 2028', '2028-09-29'
'26 july 1708', '1708-07-26'
'feb 8 1674', '1674-02-08'
'october 29 1818', '1818-10-29'
'jan 4 1974', '1974-01-04'
'jan 20 1569', '1569-01-20'
'monday july 31 2017', '2017-07-31'
'thursday 1559 24 09', '1559-09-24'
'2040 27 november', '2040-11-27'
'11 august 1880', '1880-08-11'
'5 october 1965', '1965-10-05'
'thursday june 28 1759', '1759-06-28'
'3 sep 2068', '2068-09-03'
'2030 6 november', '2030-11-06'
'14 february 1613', '1613-02-14'
'sunday august 5 1556', '1556-08-05'
'september 19 1582', '1582-09-19'
'15 november 2059', '2059-11-15'
'apr 20 1761', '1761-04-20'
'1726 8 october', '1726-10-08'
'26 november 1605', '1605-11-26'
'tue 1593 2 february', '1593-02-02'
'monday 1959 30 03', '1959-03-30'
'tuesday december 23 1834', '1834-12-23'
'monday 1747 1 05', '1747-05-01'
'july 2 1749', '1749-07-02'
'tuesday march 28 1747', '1747-03-28'
'june 21 2042', '2042-06-21'
'tue 2 jun 1936', '1936-06-02'
'2/22/17', '1717-02-22'
'august 22 1641', '1641-08-22'
'november 9 1758', '1758-11-09'
'august 2 1877', '1877-08-02'
'8 november 1681', '1681-11-08'
'1625 15 mar', '1625-03-15'
'sunday december 20 1609', '1609-12-20'
'24 october 1873', '1873-10-24'
'march 14 1895', '1895-03-14'
'1851 23 apr', '1851-04-23'
'tue 20 mar 1534', '1534-03-20'
'dec 11 1886', '1886-12-11'
'1 august 1673', '1673-08-01'
'thursday april 10 1845', '1845-04-10'
'june 28 1755', '1755-06-28'
'27 dec 1803', '1803-12-27'
'13 jul 1838', '1838-07-13'
'january 6 1918', '1918-01-06'
'01/04/1710', '1710-04-01'
'14/10/1767', '1767-10-14'
'25 may 2007', '2007-05-25'
'1 oct 2003', '2003-10-01'
'26 february 1850', '1850-02-26'
'may 23 1728', '1728-05-23'
'friday 15 august 1608', '1608-08-15'
'30 september 1848', '1848-09-30'
'april 22 2051', '2051-04-22'
'aug 14 2055', '2055-08-14'
'tuesday march 15 1560', '1560-03-15'
'saturday 19 february 1555', '1555-02-19'
'1998 13 jan', '1998-01-13'
'27 november 1961', '1961-11-27'
'mar 12 1563', '1563-03-12'
'6/8/64', '2064-06-08'
'april 5 1787', '1787-04-05'
'5 november 1978', '1978-11-05'
'wednesday january 18 1978', '1978-01-18'
'14 january 1841', '1841-01-14'
'30 mar 1656', '1656-03-30'
'23 december 2017', '2017-12-23'
'15 july 1876', '1876-07-15'
'11 apr 1997', '1997-04-11'
'31 may 1609', '1609-05-31'
'february 3 1652', '1652-02-03'
'dec 17 1791', '1791-12-17'
'08/01/1915', '1915-01-08'
'february 28 1825', '1825-02-28'
'sunday 13 april 1524', '1524-04-13'
'august 27 1530', '1530-08-27'
'7 march 1904', '1904-03-07'
'9 march 2001', '2001-03-09'
'tuesday 31 may 2050', '2050-05-31'
'tuesday february 14 1708', '1708-02-14'
'7 april 1945', '1945-04-07'
'january 30 1992', '1992-01-30'
'jul 14 1933', '1933-07-14'
'saturday 1624 2 11', '1624-11-02'
'november 27 1895', '1895-11-27'
'4 november 1824', '1824-11-04'
'22/11/1691', '1691-11-22'
'1658 2 february', '1658-02-02'
'monday 2 october 1550', '1550-10-02'
'monday 1616 17 10', '1616-10-17'
'august 21 1670', '1670-08-21'
'jan 31 1791', '1791-01-31'
'3 march 2029', '2029-03-03'
'wednesday september 2 1835', '1835-09-02'
'31 jan 1985', '1985-01-31'
'aug 24 1941', '1941-08-24'
'14/09/1797', '1797-09-14'
'nov 9 1699', '1699-11-09'
'apr 24 1841', '1841-04-24'
'26 august 2066', '2066-08-26'
'december 11 1642', '1642-12-11'
'23 october 1757', '1757-10-23'
'sunday july 19 1829', '1829-07-19'
'1889 3 december', '1889-12-03'
'jul 16 1962', '1962-07-16'
'jan 3 1914', '1914-01-03'
'tuesday 29 january 1585', '1585-01-29'
'september 28 1899', '1899-09-28'
'december 28 1670', '1670-12-28'
'1871 12 september', '1871-09-12'
'1 february 1736', '1736-02-01'
'wednesday 30 august 1684', '1684-08-30'
'7 november 2031', '2031-11-07'
'04/05/1967', '1967-05-04'
'september 7 2059', '2059-09-07'
'july 28 1847', '1847-07-28'
'november 19 1550', '1550-11-19'
'02/08/1734', '1734-08-02'
'9/22/58', '1658-09-22'
'1733 17 mar', '1733-03-17'
'sep 16 2071', '2071-09-16'
'1607 17 april', '1607-04-17'
'5 august 1570', '1570-08-05'
'27/03/1973', '1973-03-27'
'5 october 1774', '1774-10-05'
'1773 11 july', '1773-07-11'
'thu 25 mar 1880', '1880-03-25'
'tuesday 1553 3 11', '1553-11-03'
'may 14 1745', '1745-05-14'
'saturday 1639 29 10', '1639-10-29'
'friday june 20 1884', '1884-06-20'
'thu 1621 13 may', '1621-05-13'
'tuesday november 28 1916', '1916-11-28'
'november 10 1826', '1826-11-10'
'29/08/1610', '1610-08-29'
'19 november 1948', '1948-11-19'
'july 9 1775', '1775-07-09'
'sunday 1752 1 10', '1752-10-01'
'jun 14 1847', '1847-06-14'
'saturday june 18 1932', '1932-06-18'
'sunday 10 november 1918', '1918-11-10'
'aug 27 1626', '1626-08-27'
'23 december 2050', '2050-12-23'
'13 november 1786', '1786-11-13'
'june 28 1881', '1881-06-28'
'4 january 2059', '2059-01-04'
'april 17 1559', '1559-04-17'
'mar 27 1868', '1868-03-27'
'tuesday 1593 12 10', '1593-10-12'
'monday november 4 1799', '1799-11-04'
'january 19 1987', '1987-01-19'
'1984 10 jul', '1984-07-10'
'sep 8 1751', '1751-09-08'
'1992 27 july', '1992-07-27'
'september 12 1741', '1741-09-12'
'7 november 1873', '1873-11-07'
'nov 7 1943', '1943-11-07'
'wednesday february 13 1585', '1585-02-13'
'thursday 1781 4 10', '1781-10-04'
'january 22 1533', '1533-01-22'
'15 january 1743', '1743-01-15'
'1793 11 dec', '1793-12-11'
'tue 15 feb 1820', '1820-02-15'
'april 8 1584', '1584-04-08'
'21/06/1579', '1579-06-21'
'1609 12 feb', '1609-02-12'
'2 december 1757', '1757-12-02'
'20/09/1532', '1532-09-20'
'mar 22 1801', '1801-03-22'
'aug 4 1730', '1730-08-04'
'thursday march 27 1710', '1710-03-27'
'15 aug 1962', '1962-08-15'
'14 february 2020', '2020-02-14'
'5/25/56', '1956-05-25'
'may 30 1666', '1666-05-30'
'saturday 4 april 1936', '1936-04-04'
'december 6 1628', '1628-12-06'
'mon 11 aug 1692', '1692-08-11'
'june 17 1872', '1872-06-17'
'1955 28 february', '1955-02-28'
'oct 31 1752', '1752-10-31'
'mon 1901 14 january', '1901-01-14'
'mar 6 1593', '1593-03-06'
'january 11 1654', '1654-01-11'
'17/10/1879', '1879-10-17'
'4 july 1565', '1565-07-04'
'jun 4 1700', '1700-06-04'
'october 28 1682', '1682-10-28'
'1566 15 april', '1566-04-15'
'january 30 1651', '1651-01-30'
'24 february 1693', '1693-02-24'
'june 7 2071', '2071-06-07'
'sunday september 17 1837', '1837-09-17'
'february 1 2047', '2047-02-01'
'may 21 1979', '1979-05-21'
'july 22 1557', '1557-07-22'
'19 november 1808', '1808-11-19'
'thursday 1567 20 04', '1567-04-20'
'sunday march 21 1565', '1565-03-21'
'sunday january 13 1529', '1529-01-13'
'september 9 1546', '1546-09-09'
'6 sep 1705', '1705-09-06'
'friday 2049 15 01', '2049-01-15'
'october 10 1654', '1654-10-10'
'may 11 1724', '1724-05-11'
'21 jul 1990', '1990-07-21'
'26 october 1943', '1943-10-26'
'friday 10 september 1723', '1723-09-10'
'12 june 1874', '1874-06-12'
'oct 13 1838', '1838-10-13'
'26 april 1981', '1981-04-26'
'may 31 1564', '1564-05-31'
'december 28 1932', '1932-12-28'
'september 21 1925', '1925-09-21'
'20 may 2023', '2023-05-20'
'sep 21 1785', '1785-09-21'
'23/01/1608', '1608-01-23'
'30 december 1570', '1569-12-30'
'mar 31 1644', '1644-03-31'
'saturday 1827 17 02', '1827-02-17'
'wednesday january 25 1882', '1882-01-25'
'dec 28 1758', '1758-12-28'
'16 november 2053', '2053-11-16'
'saturday 2050 11 06', '2050-06-11'
'saturday may 3 1997', '1997-05-03'
'1924 1 jun', '1924-06-01'
'16 november 1921', '1921-11-16'
'dec 22 1962', '1962-12-22'
'march 26 1736', '1736-03-26'
'1912 21 june', '1912-06-21'
'01/07/1639', '1639-07-01'
'1 october 1864', '1864-10-01'
'1777 27 december', '1777-12-27'
'23 july 1974', '1974-07-23'
'1 february 1668', '1668-02-01'
'8 january 1705', '1705-01-08'
'17 jul 1667', '1667-07-17'
'tuesday 25 february 1800', '1800-02-25'
'1726 15 nov', '1726-11-15'
'1561 13 march', '1561-03-13'
'mar 28 2063', '2063-03-28'
'18/02/1620', '1620-02-18'
'jun 6 1635', '1635-06-06'
'saturday september 12 1885', '1885-09-12'
'wed 23 jul 1941', '1941-07-23'
'1839 8 december', '1839-12-08'
'14 may 1802', '1802-05-14'
'4/19/36', '1636-04-19'
'february 21 1830', '1830-02-21'
'thursday march 22 1770', '1770-03-22'
'10/02/1671', '1671-02-10'
'may 20 1831', '1831-05-20'
'nov 11 1907', '1907-11-11'
'june 26 1904', '1904-06-26'
'6 november 1620', '1620-11-06'
'10/3/91', '1891-10-03'
'sun 1849 22 april', '1849-04-22'
'wed 17 jan 1646', '1646-01-17'
'sunday 21 november 1756', '1756-11-21'
'tue 1707 15 march', '1707-03-15'
'monday 1986 30 12', '1985-12-30'
'september 14 1575', '1575-09-14'
'8/21/65', '1965-08-21'
'october 18 2023', '2023-10-18'
'1628 28 november', '1628-11-28'
'august 23 1591', '1591-08-23'
'5 february 1864', '1864-02-05'
'fri 25 jul 1930', '1930-07-25'
'6 november 2029', '2029-11-06'
'friday 16 february 1810', '1810-02-16'
'may 29 1730', '1730-05-29'
'6 december 1739', '1739-12-06'
'1681 6 august', '1681-08-06'
'1726 27 aug', '1726-08-27'
'1552 21 jan', '1552-01-21'
'sat 1890 14 june', '1890-06-14'
'oct 4 1679', '1679-10-04'
'tuesday 1647 22 10', '1647-10-22'
